PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P059,PERAK,SUNGAI SIPUT,BN,BN - MIC
P060,PERAK,TAMBUN,BN,BN - UMNO
P061,PERAK,IPOH TIMOR,BN,BN - MCA
P062,PERAK,IPOH BARAT,BN,BN - MCA
P063,PERAK,BATU GAJAH,BN,BN - MCA
P064,PERAK,KUALA KANGSAR,BN,BN - UMNO
P065,PERAK,BERUAS,BN,BN - GERAKAN
P066,PERAK,PARIT,BN,BN - UMNO
P067,PERAK,GOPENG,BN,BN - MCA
P068,PERAK,KAMPAR,BN,BN - MCA
P069,PERAK,TAPAH,BN,BN - MIC
P070,PERAK,PASIR SALAK,BN,BN - UMNO
P071,PERAK,LUMUT,BN,BN - MCA
P072,PERAK,BAGAN DATOK,BN,BN - UMNO
P073,PERAK,TELOK INTAN,BN,BN - GERAKAN
P074,PERAK,TANJONG MALIM,BN,BN - MCA
P075,PAHANG,LIPIS,BN,BN - UMNO
P076,PAHANG,RAUB,BN,BN - MCA
P077,PAHANG,JERANTUT,BN,BN - UMNO
P078,PAHANG,KUANTAN,BN,BN - UMNO
P079,PAHANG,PAYA BESAR,BN,BN - UMNO
P080,PAHANG,PEKAN,BN,BN - UMNO
P081,PAHANG,MARAN,BN,BN - UMNO
P082,PAHANG,MENTEKAB,BN,BN - MCA
P083,PAHANG,BENTUNG,BN,BN - MCA
P084,PAHANG,TEMERLUH,BN,BN - UMNO
P085,PAHANG,ROMPIN,BN,BN - UMNO
P086,SELANGOR,SABAK BERNAM,BN,BN - UMNO
P087,SELANGOR,TANJUNG KARANG,BN,BN - UMNO
P088,SELANGOR,HULU SELANGOR,BN,BN - MIC
P089,SELANGOR,KUALA SELANGOR,BN,BN - UMNO
P090,SELANGOR,SELAYANG,BN,BN - MCA
P091,SELANGOR,GOMBAK,BN,BN - UMNO
P092,SELANGOR,AMPANG JAYA,BN,BN - MCA
P093,SELANGOR,HULU LANGAT,BN,BN - UMNO
P094,SELANGOR,PJ UTARA,BN,BN - MCA
P095,SELANGOR,PJ SELATAN,BN,BN - MCA
P096,SELANGOR,SERDANG,BN,BN - MCA
P097,SELANGOR,SUBANG,BN,BN - MIC
P098,SELANGOR,SHAH ALAM,BN,BN - UMNO
P099,SELANGOR,KAPAR,BN,BN - MIC
P100,SELANGOR,KLANG,BN,BN - MCA
P101,SELANGOR,KUALA LANGAT,BN,BN - UMNO
P102,SELANGOR,SEPANG,BN,BN - UMNO
P103,KL,KEPONG,DAP,DAP
P104,KL,BATU,BN,BN - GERAKAN
P105,KL,WANGSA MAJU,BN,BN - UMNO
P106,KL,SEGAMBUT,BN,BN - GERAKAN
P107,KL,TITIWANGSA,BN,BN - UMNO
P108,KL,BUKIT BINTANG,DAP,DAP
P109,KL,LEMBAH PANTAI,BN,BN - UMNO
P110,KL,SEPUTEH,DAP,DAP
P111,KL,CHERAS,DAP,DAP
P112,KL,BANDAR TUN RAZAK,BN,BN - MCA
P113,N9,JELEBU,BN,BN - UMNO
P114,N9,JEMPOL,BN,BN - UMNO
P115,N9,TAMPIN,BN,BN - UMNO
P116,N9,KUALA PILAH,BN,BN - UMNO
P117,N9,SEREMBAN,BN,BN - MCA
P118,N9,RASAH,BN,BN - MCA
P119,N9,TELOK KEMANG,BN,BN - MIC
P120,MELAKA,ALOR GAJAH,BN,BN - UMNO
P121,MELAKA,SELANDAR,BN,BN - MCA
P122,MELAKA,BATU BERENDAM,BN,BN - UMNO
P123,MELAKA,KOTA MELAKA,DAP,DAP
P124,MELAKA,JASIN,BN,BN - UMNO
P125,JOHOR,SEGAMAT,BN,BN - MIC
P126,JOHOR,LEDANG,BN,BN - UMNO
P127,JOHOR,PAGOH,BN,BN - UMNO
P128,JOHOR,LABIS,BN,BN - MCA
P129,JOHOR,MERSING,BN,BN - UMNO
P130,JOHOR,KLUANG,BN,BN - MCA
P131,JOHOR,PARIT SULONG,BN,BN - UMNO
P132,JOHOR,BAKRI,BN,BN - MCA
P133,JOHOR,MUAR,BN,BN - UMNO
P134,JOHOR,SRI GADING,BN,BN - UMNO
P135,JOHOR,BATU PAHAT,BN,BN - UMNO
P136,JOHOR,TENGGARA,BN,BN - UMNO
P137,JOHOR,SUNGAI BENUT,BN,BN - UMNO
P138,JOHOR,SENAI,BN,BN - MCA
P139,JOHOR,KOTA TINGGI,BN,BN - UMNO
P140,JOHOR,TEBRAU,BN,BN - UMNO
P141,JOHOR,JOHOR BAHRU,BN,BN - UMNO
P142,JOHOR,PULAI,BN,BN - UMNO
P143,JOHOR,GELANG PATAH,BN,BN - MCA
P144,JOHOR,PONTIAN,BN,BN - MCA
P145,LABUAN,LABUAN,BN,BN - UMNO
P146,SABAH,MARUDU,GR,GR - PBS
P147,SABAH,BANDAU,GR,GR - PBS
P148,SABAH,KOTA BELUD,BN,BN - UMNO
P149,SABAH,TUARAN,GR,GR - PBS
P150,SABAH,GAYA,BN,BN - SAPP
P151,SABAH,TANJONG ARU,GR,GR - PBS
P152,SABAH,PENAMPANG,GR,GR - PBS
P153,SABAH,PAPAR,BN,BN - UMNO
P154,SABAH,BEAUFORT,BN,BN - UMNO
P155,SABAH,SIPITANG,BN,BN - UMNO
P156,SABAH,KINABALU,GR,GR - PBS
P157,SABAH,KENINGAU,GR,GR - PBS
P158,SABAH,TENOM,GR,GR - PBS
P159,SABAH,BELURAN,BN,BN - UMNO
P160,SABAH,LIBARAN,BN,BN - UMNO
P161,SABAH,SANDAKAN,BN,BN - LDP
P162,SABAH,KINABATANGAN,BN,BN - UMNO
P163,SABAH,SILAM,BN,BN - UMNO
P164,SABAH,SEMPORNA,BN,BN - UMNO
P165,SABAH,TAWAU,BN,BN - SAPP
P166,SARAWAK,MAS GADING,BN,BN - SNAP
P167,SARAWAK,SANTUBONG,BN,BN - PBB
P168,SARAWAK,PETRA JAYA,BN,BN - PBB
P169,SARAWAK,BANDAR KUCHING,BN,BN - SUPP
P170,SARAWAK,PADAWAN,BN,BN - SUPP
P171,SARAWAK,KOTA SAMARAHAN,BN,BN - PBB
P172,SARAWAK,SERIAN,BN,BN - SUPP
P173,SARAWAK,BATANG SADONG,BN,BN - PBB
P174,SARAWAK,BATANG LUPAR,BN,BN - PBB
P175,SARAWAK,SRI AMAN,BN,BN - PBDS
P176,SARAWAK,LUBOK ANTU,BN,BN - PBDS
P177,SARAWAK,BETONG,BN,BN - PBB
P178,SARAWAK,SARATOK,BN,BN - SNAP
P179,SARAWAK,KUALA RAJANG,BN,BN - PBB
P180,SARAWAK,SARIKEI,BN,BN - SUPP
P181,SARAWAK,JULAU,BN,BN - PBDS
P182,SARAWAK,KANOWIT,BN,BN - PBDS
P183,SARAWAK,LANANG,BN,BN - SUPP
P184,SARAWAK,SIBU,BN,BN - SUPP
P185,SARAWAK,MUKAH,BN,BN - PBB
P186,SARAWAK,SELANGAU,BN,BN - PBDS
P187,SARAWAK,KAPIT,BN,BN - PBB
P188,SARAWAK,HULU RAJANG,BN,BN - PBDS
P189,SARAWAK,BINTULU,DAP,DAP
P190,SARAWAK,MIRI,BN,BN - SUPP
P191,SARAWAK,BARAM,BN,BN - SNAP
P192,SARAWAK,BUKIT MAS,BN,BN - PBB
